name,sku,category,length_cm,width_cm,height_cm,weight_kg,monthly_order_volume
Laptop 0032,ELE-0032,Electronics,37.1,29.8,4.8,1.76,108
Paperback Book 0033,BOO-0033,Books,21.2,16.4,2.6,0.55,599
Webcam 0034,ELE-0034,Electronics,10.0,5.9,7.3,0.4,55
SSD Drive 0035,ELE-0035,Electronics,14.0,7.1,1.4,0.1,588
Stuffed Animal 0036,TOY-0036,Toys,29.7,28.2,26.4,0.43,240
Jeans 0037,CLO-0037,Clothing,34.2,27.6,5.9,0.56,107
Action Figure 0038,TOY-0038,Toys,16.3,12.0,9.8,0.39,41
Board Game 0039,TOY-0039,Toys,26.1,38.5,9.5,1.34,188
Phone Case 0040,ELE-0040,Electronics,19.1,9.6,1.6,0.09,112
USB Cable 0041,ELE-0041,Electronics,17.5,14.5,4.0,0.28,98
Picture Frame 0042,FRA-0042,Fragile,23.7,20.9,2.1,0.55,46
Hardcover Book 0043,BOO-0043,Books,24.7,21.8,4.5,0.83,100
Socks 0044,CLO-0044,Clothing,21.7,10.4,2.1,0.14,53
Power Bank 0045,ELE-0045,Electronics,14.0,7.2,3.1,0.37,56
Webcam 0046,ELE-0046,Electronics,8.7,7.9,7.8,0.49,80
Action Figure 0047,TOY-0047,Toys,18.7,16.3,5.3,0.1,84
USB Cable 0048,ELE-0048,Electronics,18.2,10.1,3.4,0.16,82
Webcam 0049,ELE-0049,Electronics,11.7,6.0,5.4,0.48,104
Jacket 0050,CLO-0050,Clothing,54.4,48.1,7.0,0.69,117
T-Shirt 0051,CLO-0051,Clothing,35.0,29.2,3.2,0.18,95
Paperback Book 0052,BOO-0052,Books,20.4,13.9,2.8,0.4,103
Webcam 0053,ELE-0053,Electronics,9.2,5.9,6.8,0.43,48
SSD Drive 0054,ELE-0054,Electronics,15.0,8.9,2.9,0.17,112
Picture Frame 0055,FRA-0055,Fragile,37.4,19.2,4.4,1.47,118
Jeans 0056,CLO-0056,Clothing,32.5,32.8,5.6,0.74,206
USB Cable 0057,ELE-0057,Electronics,18.3,11.4,3.1,0.17,533
Shoes 0058,CLO-0058,Clothing,29.8,18.2,11.0,0.61,43
USB Cable 0059,ELE-0059,Electronics,19.1,13.2,2.6,0.2,52
Monitor 0060,ELE-0060,Electronics,59.3,43.3,5.6,4.4,88
Shoes 0061,CLO-0061,Clothing,34.8,17.0,12.0,0.98,192
Headphones 0062,ELE-0062,Electronics,19.0,16.7,8.6,0.25,49
Socks 0063,CLO-0063,Clothing,23.8,13.1,3.6,0.14,163
Ceramic Mug 0064,FRA-0064,Fragile,12.3,13.3,14.9,0.36,90
Power Bank 0065,ELE-0065,Electronics,17.5,6.2,3.9,0.48,185
Power Bank 0066,ELE-0066,Electronics,17.8,9.3,2.6,0.42,495
Stuffed Animal 0067,TOY-0067,Toys,34.4,27.6,28.8,0.68,168
Stuffed Animal 0068,TOY-0068,Toys,36.2,27.5,22.4,0.8,40
Phone Case 0069,ELE-0069,Electronics,18.8,8.0,1.2,0.12,118
Puzzle 0070,TOY-0070,Toys,34.4,22.4,4.8,1.0,169
Glass Vase 0071,FRA-0071,Fragile,21.2,24.1,30.4,1.0,117
Monitor 0072,ELE-0072,Electronics,58.9,38.4,7.9,3.65,93
Laptop 0073,ELE-0073,Electronics,30.7,20.2,2.9,2.29,51
Magazine 0074,BOO-0074,Books,31.9,20.5,1.3,0.39,54
Action Figure 0075,TOY-0075,Toys,23.0,17.5,5.0,0.19,100
Socks 0076,CLO-0076,Clothing,22.0,14.5,2.1,0.12,117
Monitor 0077,ELE-0077,Electronics,59.6,32.9,7.2,3.73,543
Headphones 0078,ELE-0078,Electronics,22.9,19.5,7.4,0.27,60
Stuffed Animal 0079,TOY-0079,Toys,37.4,20.2,17.8,0.66,1038
Ceramic Mug 0080,FRA-0080,Fragile,13.4,14.6,14.3,0.6,45
Magazine 0081,BOO-0081,Books,33.3,20.2,1.5,0.42,114
Ceramic Mug 0082,FRA-0082,Fragile,14.7,11.7,10.6,0.55,59
Hardcover Book 0083,BOO-0083,Books,23.2,18.7,3.7,1.22,81
Action Figure 0084,TOY-0084,Toys,21.7,12.6,7.8,0.32,217
Action Figure 0085,TOY-0085,Toys,20.5,15.4,8.0,0.2,899
USB Cable 0086,ELE-0086,Electronics,17.3,14.7,2.0,0.27,60
Webcam 0087,ELE-0087,Electronics,11.1,5.7,6.3,0.4,46
Monitor 0088,ELE-0088,Electronics,64.2,36.6,8.3,7.81,43
SSD Drive 0089,ELE-0089,Electronics,11.5,9.8,1.9,0.14,449
Puzzle 0090,TOY-0090,Toys,38.8,28.6,3.8,0.87,49
Picture Frame 0091,FRA-0091,Fragile,37.4,26.3,2.6,0.7,99
Textbook 0092,BOO-0092,Books,25.9,21.3,5.9,1.25,108
Laptop 0093,ELE-0093,Electronics,39.8,24.0,3.1,2.13,89
Mouse 0094,ELE-0094,Electronics,11.1,7.5,3.1,0.29,188
Picture Frame 0095,FRA-0095,Fragile,20.3,15.9,4.8,0.54,49
Action Figure 0096,TOY-0096,Toys,20.2,12.0,5.5,0.23,106
Jacket 0097,CLO-0097,Clothing,44.3,46.7,8.5,0.95,41
USB Cable 0098,ELE-0098,Electronics,20.0,12.5,2.6,0.2,50
Picture Frame 0099,FRA-0099,Fragile,32.8,23.4,2.6,0.9,54
Board Game 0100,TOY-0100,Toys,33.0,32.4,9.7,0.59,505
Action Figure 0101,TOY-0101,Toys,19.9,15.0,5.1,0.2,46
Ceramic Mug 0102,FRA-0102,Fragile,12.1,11.9,11.3,0.37,172
Magazine 0103,BOO-0103,Books,32.0,20.1,1.5,0.24,40
Board Game 0104,TOY-0104,Toys,38.1,39.7,6.6,0.7,104
Action Figure 0105,TOY-0105,Toys,21.1,15.5,5.9,0.39,87
Picture Frame 0106,FRA-0106,Fragile,34.9,28.8,4.6,1.1,57
Paperback Book 0107,BOO-0107,Books,23.5,15.1,2.6,0.57,49
Magazine 0108,BOO-0108,Books,26.6,26.0,1.5,0.24,119
Keyboard 0109,ELE-0109,Electronics,44.0,12.2,3.3,1.18,169
T-Shirt 0110,CLO-0110,Clothing,30.4,29.1,2.6,0.27,109
Stuffed Animal 0111,TOY-0111,Toys,27.8,26.7,16.0,0.75,46
Puzzle 0112,TOY-0112,Toys,32.6,22.9,4.7,0.67,80
Textbook 0113,BOO-0113,Books,28.9,22.8,5.8,1.51,101
USB Cable 0114,ELE-0114,Electronics,20.9,10.7,3.2,0.18,111
Socks 0115,CLO-0115,Clothing,17.2,14.6,3.8,0.1,41
Action Figure 0116,TOY-0116,Toys,21.6,12.1,7.5,0.31,112
Power Bank 0117,ELE-0117,Electronics,13.9,7.8,3.1,0.35,163
T-Shirt 0118,CLO-0118,Clothing,28.8,23.2,3.7,0.29,59
Magazine 0119,BOO-0119,Books,31.1,23.2,1.2,0.48,470
Glass Vase 0120,FRA-0120,Fragile,22.6,23.4,31.5,0.97,55
Keyboard 0121,ELE-0121,Electronics,43.3,16.7,2.6,1.15,48
Jacket 0122,CLO-0122,Clothing,45.3,49.4,6.4,0.89,42
Picture Frame 0123,FRA-0123,Fragile,36.0,17.5,4.2,0.66,107
T-Shirt 0124,CLO-0124,Clothing,27.1,28.2,4.7,0.29,194
Jeans 0125,CLO-0125,Clothing,35.5,33.7,4.1,0.53,98
Monitor 0126,ELE-0126,Electronics,63.0,47.5,6.6,7.79,229
Mouse 0127,ELE-0127,Electronics,14.7,8.9,4.1,0.15,101
Paperback Book 0128,BOO-0128,Books,19.2,15.7,1.1,0.29,113
Stuffed Animal 0129,TOY-0129,Toys,20.3,18.1,27.4,0.21,46
Phone Case 0130,ELE-0130,Electronics,16.5,9.3,1.6,0.11,116
Power Bank 0131,ELE-0131,Electronics,16.6,6.5,3.2,0.34,45
Jeans 0132,CLO-0132,Clothing,35.3,27.1,5.3,0.5,50
Jacket 0133,CLO-0133,Clothing,44.4,42.6,8.6,0.65,59
Hardcover Book 0134,BOO-0134,Books,22.9,23.8,2.7,1.43,236
Phone Case 0135,ELE-0135,Electronics,16.1,9.7,1.6,0.08,114
Board Game 0136,TOY-0136,Toys,29.6,36.6,9.9,1.0,471
Picture Frame 0137,FRA-0137,Fragile,32.6,20.9,4.4,1.3,84
Glass Vase 0138,FRA-0138,Fragile,15.1,16.0,22.2,0.84,106
Textbook 0139,BOO-0139,Books,28.1,21.1,3.4,1.12,60
Action Figure 0140,TOY-0140,Toys,19.4,12.4,5.6,0.1,163
Shoes 0141,CLO-0141,Clothing,30.6,19.5,13.6,0.84,213
Ceramic Mug 0142,FRA-0142,Fragile,13.1,12.5,10.8,0.49,52
Mouse 0143,ELE-0143,Electronics,12.4,7.2,3.2,0.23,93
Jacket 0144,CLO-0144,Clothing,46.0,43.1,6.7,1.18,83
Phone Case 0145,ELE-0145,Electronics,19.2,11.1,1.9,0.06,102
Power Bank 0146,ELE-0146,Electronics,13.1,7.9,3.6,0.38,967
Picture Frame 0147,FRA-0147,Fragile,36.8,21.2,2.5,1.04,239
Magazine 0148,BOO-0148,Books,34.1,23.9,1.0,0.31,114
Puzzle 0149,TOY-0149,Toys,33.0,26.0,5.3,0.53,51
Mouse 0150,ELE-0150,Electronics,11.4,8.8,4.0,0.13,523
Socks 0151,CLO-0151,Clothing,22.1,11.1,3.5,0.08,51
Webcam 0152,ELE-0152,Electronics,11.4,6.3,6.0,0.29,99
SSD Drive 0153,ELE-0153,Electronics,14.7,8.4,1.0,0.11,58
Laptop 0154,ELE-0154,Electronics,39.6,28.2,4.3,2.43,82
Picture Frame 0155,FRA-0155,Fragile,28.7,25.6,4.6,1.05,58
Laptop 0156,ELE-0156,Electronics,35.3,22.2,3.0,1.96,119
Shoes 0157,CLO-0157,Clothing,27.4,23.2,11.6,0.96,117
Magazine 0158,BOO-0158,Books,29.1,24.4,0.9,0.22,48
Ceramic Mug 0159,FRA-0159,Fragile,10.8,14.3,11.3,0.32,193
Action Figure 0160,TOY-0160,Toys,23.0,12.6,7.5,0.15,234
Ceramic Mug 0161,FRA-0161,Fragile,10.4,13.1,11.4,0.34,104
Paperback Book 0162,BOO-0162,Books,19.7,17.1,1.7,0.54,215
Laptop 0163,ELE-0163,Electronics,33.8,29.4,3.9,2.22,47
Board Game 0164,TOY-0164,Toys,30.4,25.7,9.8,0.56,88
Phone Case 0165,ELE-0165,Electronics,18.1,12.0,1.9,0.07,104
Webcam 0166,ELE-0166,Electronics,11.6,7.5,5.4,0.49,238
Magazine 0167,BOO-0167,Books,34.5,26.2,1.2,0.38,433
Puzzle 0168,TOY-0168,Toys,38.5,20.4,3.1,0.48,99
Webcam 0169,ELE-0169,Electronics,9.4,5.4,5.8,0.33,53
Keyboard 0170,ELE-0170,Electronics,40.6,15.6,2.6,0.81,117
Laptop 0171,ELE-0171,Electronics,30.0,21.9,2.9,1.87,87
Glass Vase 0172,FRA-0172,Fragile,21.0,17.4,26.8,1.41,80
Laptop 0173,ELE-0173,Electronics,32.1,22.5,4.8,2.79,59
SSD Drive 0174,ELE-0174,Electronics,11.2,7.1,1.5,0.15,97
Magazine 0175,BOO-0175,Books,29.3,22.7,1.2,0.27,41
Stuffed Animal 0176,TOY-0176,Toys,32.4,29.7,26.9,0.55,85
T-Shirt 0177,CLO-0177,Clothing,32.1,29.0,4.1,0.2,95
Webcam 0178,ELE-0178,Electronics,11.9,5.2,5.6,0.39,193
Action Figure 0179,TOY-0179,Toys,24.2,10.3,8.3,0.38,44
Shoes 0180,CLO-0180,Clothing,33.5,18.9,11.4,0.7,96
Stuffed Animal 0181,TOY-0181,Toys,39.6,27.9,25.1,0.2,216
Magazine 0182,BOO-0182,Books,34.8,23.0,1.2,0.41,84
Webcam 0183,ELE-0183,Electronics,10.2,5.7,6.6,0.35,89
Shoes 0184,CLO-0184,Clothing,30.0,19.7,13.0,0.75,82
Picture Frame 0185,FRA-0185,Fragile,30.7,18.2,3.2,1.26,55
Picture Frame 0186,FRA-0186,Fragile,22.0,19.0,2.0,1.14,42
Monitor 0187,ELE-0187,Electronics,68.9,41.3,5.1,3.14,213
Action Figure 0188,TOY-0188,Toys,23.0,15.7,9.7,0.14,92
Stuffed Animal 0189,TOY-0189,Toys,36.7,21.4,18.8,0.27,53
T-Shirt 0190,CLO-0190,Clothing,29.1,26.9,2.7,0.17,219
Monitor 0191,ELE-0191,Electronics,63.4,48.0,8.6,6.18,211
Socks 0192,CLO-0192,Clothing,24.9,11.3,2.1,0.11,58
Jeans 0193,CLO-0193,Clothing,32.6,34.1,5.3,0.78,49
SSD Drive 0194,ELE-0194,Electronics,10.1,9.8,1.5,0.17,107
Puzzle 0195,TOY-0195,Toys,33.6,28.9,3.9,0.44,49
SSD Drive 0196,ELE-0196,Electronics,10.4,8.9,3.0,0.19,173
Action Figure 0197,TOY-0197,Toys,17.9,16.3,5.7,0.39,46
USB Cable 0198,ELE-0198,Electronics,24.6,13.8,3.1,0.13,58
Monitor 0199,ELE-0199,Electronics,69.0,37.7,5.1,4.56,57
Jacket 0200,CLO-0200,Clothing,47.7,36.9,9.2,0.72,57
Socks 0201,CLO-0201,Clothing,15.6,11.7,3.0,0.12,112
Picture Frame 0202,FRA-0202,Fragile,25.7,23.7,3.4,1.15,41
Action Figure 0203,TOY-0203,Toys,16.0,15.9,6.4,0.15,49
USB Cable 0204,ELE-0204,Electronics,24.7,10.7,2.8,0.17,104
Textbook 0205,BOO-0205,Books,28.5,22.3,5.6,1.76,496
SSD Drive 0206,ELE-0206,Electronics,12.2,7.2,1.7,0.17,50
Glass Vase 0207,FRA-0207,Fragile,16.5,19.5,34.5,0.59,87
Jacket 0208,CLO-0208,Clothing,46.3,45.4,6.4,0.99,172
T-Shirt 0209,CLO-0209,Clothing,28.1,21.7,4.0,0.15,44
SSD Drive 0210,ELE-0210,Electronics,12.8,8.3,2.0,0.13,93
SSD Drive 0211,ELE-0211,Electronics,14.7,7.4,1.7,0.17,45
Board Game 0212,TOY-0212,Toys,30.4,37.1,8.3,0.72,190
Magazine 0213,BOO-0213,Books,26.5,26.3,1.3,0.25,223
Textbook 0214,BOO-0214,Books,27.4,22.2,4.7,2.16,58
Hardcover Book 0215,BOO-0215,Books,20.1,20.9,3.9,1.3,53
USB Cable 0216,ELE-0216,Electronics,19.0,13.7,2.8,0.15,477
Power Bank 0217,ELE-0217,Electronics,12.4,7.3,2.3,0.53,88
Glass Vase 0218,FRA-0218,Fragile,18.8,23.9,31.0,1.34,80
Laptop 0219,ELE-0219,Electronics,31.1,28.5,4.0,2.49,112
Ceramic Mug 0220,FRA-0220,Fragile,13.8,10.6,11.7,0.51,94
Hardcover Book 0221,BOO-0221,Books,25.8,23.2,4.3,1.14,51
Picture Frame 0222,FRA-0222,Fragile,28.1,24.5,2.9,0.82,59
Socks 0223,CLO-0223,Clothing,22.1,13.2,3.2,0.13,57
Textbook 0224,BOO-0224,Books,34.5,23.5,4.8,1.05,230
SSD Drive 0225,ELE-0225,Electronics,13.7,9.4,2.9,0.12,49
Magazine 0226,BOO-0226,Books,30.0,20.5,1.3,0.47,53
Webcam 0227,ELE-0227,Electronics,9.4,7.8,5.9,0.47,192
Jeans 0228,CLO-0228,Clothing,30.9,29.3,5.1,0.54,191
Action Figure 0229,TOY-0229,Toys,23.0,16.7,6.8,0.36,109
Action Figure 0230,TOY-0230,Toys,23.8,11.9,7.7,0.12,54
Hardcover Book 0231,BOO-0231,Books,24.2,17.3,4.3,0.66,51
Jeans 0232,CLO-0232,Clothing,37.1,34.4,3.7,0.66,95
Action Figure 0233,TOY-0233,Toys,18.6,11.3,9.8,0.1,240
Headphones 0234,ELE-0234,Electronics,22.2,16.0,6.7,0.24,109
USB Cable 0235,ELE-0235,Electronics,22.4,10.2,2.9,0.22,60
Paperback Book 0236,BOO-0236,Books,20.2,16.5,2.6,0.38,90
Jeans 0237,CLO-0237,Clothing,39.5,26.9,5.9,0.65,175
Hardcover Book 0238,BOO-0238,Books,23.8,16.6,3.9,0.54,118
Magazine 0239,BOO-0239,Books,29.4,20.3,0.8,0.24,557
Socks 0240,CLO-0240,Clothing,15.7,10.5,2.8,0.14,162
Ceramic Mug 0241,FRA-0241,Fragile,13.2,12.9,10.5,0.52,118
Headphones 0242,ELE-0242,Electronics,24.5,17.5,8.7,0.47,94
Webcam 0243,ELE-0243,Electronics,10.2,7.7,7.3,0.38,194
Hardcover Book 0244,BOO-0244,Books,28.5,18.7,4.3,0.53,109
Hardcover Book 0245,BOO-0245,Books,23.1,21.8,3.6,1.12,408
Power Bank 0246,ELE-0246,Electronics,12.2,9.1,2.7,0.37,92
Mouse 0247,ELE-0247,Electronics,11.7,6.0,4.9,0.19,177
Jacket 0248,CLO-0248,Clothing,43.7,49.7,9.3,0.62,50
Board Game 0249,TOY-0249,Toys,27.3,25.4,7.2,0.86,58
Glass Vase 0250,FRA-0250,Fragile,21.9,22.3,27.2,1.46,175
Jacket 0251,CLO-0251,Clothing,46.2,37.5,7.7,0.88,167
Textbook 0252,BOO-0252,Books,25.1,21.4,3.2,1.2,41
Power Bank 0253,ELE-0253,Electronics,15.3,9.4,2.2,0.41,233
Textbook 0254,BOO-0254,Books,27.6,27.5,4.8,1.18,162
Jeans 0255,CLO-0255,Clothing,30.8,29.9,4.0,0.78,435
Power Bank 0256,ELE-0256,Electronics,13.7,8.8,2.3,0.45,108
Keyboard 0257,ELE-0257,Electronics,46.7,16.4,3.7,1.14,96
Textbook 0258,BOO-0258,Books,27.7,25.2,5.8,1.77,53
Puzzle 0259,TOY-0259,Toys,41.3,24.9,4.2,0.5,57
Puzzle 0260,TOY-0260,Toys,31.8,22.2,4.3,0.45,97
Socks 0261,CLO-0261,Clothing,15.8,11.2,3.9,0.07,50
Paperback Book 0262,BOO-0262,Books,24.3,15.7,2.7,0.53,106
Glass Vase 0263,FRA-0263,Fragile,20.2,16.8,20.6,1.34,46
Webcam 0264,ELE-0264,Electronics,11.8,7.1,7.2,0.43,47
Keyboard 0265,ELE-0265,Electronics,45.5,15.6,3.1,0.68,113
Jacket 0266,CLO-0266,Clothing,52.2,41.0,5.1,0.76,96
Action Figure 0267,TOY-0267,Toys,20.9,12.7,7.3,0.23,44
Stuffed Animal 0268,TOY-0268,Toys,23.1,24.6,29.3,0.65,184
Puzzle 0269,TOY-0269,Toys,40.5,29.4,3.3,0.82,103
Socks 0270,CLO-0270,Clothing,17.1,11.4,3.4,0.13,43
Ceramic Mug 0271,FRA-0271,Fragile,13.5,10.5,11.5,0.34,57
Magazine 0272,BOO-0272,Books,29.7,27.1,0.7,0.29,237
Picture Frame 0273,FRA-0273,Fragile,25.4,19.8,4.4,0.66,44
Jeans 0274,CLO-0274,Clothing,39.9,32.6,3.6,0.78,498
Glass Vase 0275,FRA-0275,Fragile,17.0,18.9,24.3,0.52,83
Action Figure 0276,TOY-0276,Toys,21.2,15.1,8.0,0.23,47
Webcam 0277,ELE-0277,Electronics,11.0,5.3,6.2,0.32,51
Keyboard 0278,ELE-0278,Electronics,43.2,14.5,3.3,0.76,57
Action Figure 0279,TOY-0279,Toys,15.7,13.9,8.8,0.13,207
Mouse 0280,ELE-0280,Electronics,10.8,6.2,4.3,0.25,199
Action Figure 0281,TOY-0281,Toys,17.5,12.6,7.6,0.22,170
Paperback Book 0282,BOO-0282,Books,23.9,16.3,2.4,0.58,60
Hardcover Book 0283,BOO-0283,Books,27.0,23.5,3.7,1.16,51
Board Game 0284,TOY-0284,Toys,35.8,29.9,5.7,0.83,43
Textbook 0285,BOO-0285,Books,33.4,27.2,4.6,2.33,59
Socks 0286,CLO-0286,Clothing,20.6,15.0,3.7,0.07,106
T-Shirt 0287,CLO-0287,Clothing,28.0,20.1,4.2,0.15,48
T-Shirt 0288,CLO-0288,Clothing,32.9,25.6,2.1,0.18,54
Webcam 0289,ELE-0289,Electronics,9.6,5.6,7.5,0.22,445
USB Cable 0290,ELE-0290,Electronics,23.2,14.1,2.5,0.11,172
Textbook 0291,BOO-0291,Books,25.7,24.2,4.3,1.65,89
Paperback Book 0292,BOO-0292,Books,20.0,16.3,2.2,0.53,203
Stuffed Animal 0293,TOY-0293,Toys,30.5,27.0,15.4,0.6,86
T-Shirt 0294,CLO-0294,Clothing,25.9,27.1,2.3,0.18,106
T-Shirt 0295,CLO-0295,Clothing,25.2,25.8,4.9,0.29,83
Textbook 0296,BOO-0296,Books,34.5,22.6,3.6,1.86,115
Board Game 0297,TOY-0297,Toys,28.0,30.8,6.3,0.54,106
Keyboard 0298,ELE-0298,Electronics,43.2,13.9,3.0,0.93,60
T-Shirt 0299,CLO-0299,Clothing,35.0,23.3,2.2,0.28,97
SSD Drive 0300,ELE-0300,Electronics,11.3,9.3,1.7,0.16,236
Puzzle 0301,TOY-0301,Toys,33.3,28.4,3.4,1.0,97
Keyboard 0302,ELE-0302,Electronics,42.7,15.4,3.8,0.99,104
Keyboard 0303,ELE-0303,Electronics,42.3,12.4,3.1,1.11,89
Phone Case 0304,ELE-0304,Electronics,17.5,9.8,2.0,0.1,108
Action Figure 0305,TOY-0305,Toys,15.2,13.9,8.6,0.38,96
Textbook 0306,BOO-0306,Books,28.7,27.2,3.1,1.64,42
Shoes 0307,CLO-0307,Clothing,29.8,22.1,10.4,0.94,235
Laptop 0308,ELE-0308,Electronics,39.5,22.7,2.3,2.69,212
Socks 0309,CLO-0309,Clothing,18.7,12.8,3.3,0.08,112
Hardcover Book 0310,BOO-0310,Books,21.1,18.5,2.4,1.36,421
Paperback Book 0311,BOO-0311,Books,20.0,16.2,2.0,0.38,50
Magazine 0312,BOO-0312,Books,27.4,26.1,1.1,0.34,99
T-Shirt 0313,CLO-0313,Clothing,28.6,25.6,3.7,0.17,58
Jeans 0314,CLO-0314,Clothing,31.2,32.2,3.6,0.59,86
Board Game 0315,TOY-0315,Toys,35.0,37.4,8.6,1.37,85
Stuffed Animal 0316,TOY-0316,Toys,29.3,15.7,16.0,0.68,214
Monitor 0317,ELE-0317,Electronics,58.6,31.0,6.8,3.14,49
Shoes 0318,CLO-0318,Clothing,29.2,21.5,10.4,0.56,411
Glass Vase 0319,FRA-0319,Fragile,19.1,19.9,27.1,0.87,169
Headphones 0320,ELE-0320,Electronics,23.4,18.7,8.1,0.44,50
Glass Vase 0321,FRA-0321,Fragile,18.6,24.5,29.8,1.36,47
Magazine 0322,BOO-0322,Books,29.7,21.2,0.6,0.37,457
Keyboard 0323,ELE-0323,Electronics,45.5,12.6,2.9,1.01,81
Magazine 0324,BOO-0324,Books,26.3,28.0,1.1,0.3,202
Jacket 0325,CLO-0325,Clothing,54.0,36.2,10.0,0.9,95
Monitor 0326,ELE-0326,Electronics,50.6,48.0,9.3,7.51,958
Glass Vase 0327,FRA-0327,Fragile,17.2,22.8,20.8,0.96,99
Picture Frame 0328,FRA-0328,Fragile,28.3,17.7,3.8,1.35,434
Monitor 0329,ELE-0329,Electronics,63.9,49.3,7.7,6.71,47
Phone Case 0330,ELE-0330,Electronics,19.4,9.1,1.8,0.07,95
Board Game 0331,TOY-0331,Toys,36.2,37.8,5.6,0.82,112
Phone Case 0332,ELE-0332,Electronics,18.9,10.8,1.1,0.09,190
Board Game 0333,TOY-0333,Toys,29.1,29.9,9.5,1.35,208
Action Figure 0334,TOY-0334,Toys,15.7,10.5,7.6,0.17,184
Board Game 0335,TOY-0335,Toys,25.7,30.7,6.3,0.63,202
Monitor 0336,ELE-0336,Electronics,57.0,35.1,9.1,6.29,119
USB Cable 0337,ELE-0337,Electronics,23.6,12.7,3.6,0.14,59
Webcam 0338,ELE-0338,Electronics,10.3,6.4,5.4,0.47,45
Socks 0339,CLO-0339,Clothing,23.3,14.4,2.3,0.07,44
Jeans 0340,CLO-0340,Clothing,38.6,25.4,3.5,0.71,452
Headphones 0341,ELE-0341,Electronics,22.3,17.9,6.6,0.34,113
Jeans 0342,CLO-0342,Clothing,33.6,31.1,4.2,0.72,114
Magazine 0343,BOO-0343,Books,29.2,22.5,0.9,0.4,42
Jacket 0344,CLO-0344,Clothing,41.1,38.5,7.9,0.97,106
Magazine 0345,BOO-0345,Books,25.5,24.5,1.4,0.27,105
Shoes 0346,CLO-0346,Clothing,34.4,22.5,13.1,0.93,459
Ceramic Mug 0347,FRA-0347,Fragile,10.6,11.0,13.2,0.43,493
Board Game 0348,TOY-0348,Toys,36.6,37.1,8.5,1.46,98
Hardcover Book 0349,BOO-0349,Books,23.1,21.0,4.5,1.48,42
Magazine 0350,BOO-0350,Books,25.2,22.6,1.3,0.37,192
Phone Case 0351,ELE-0351,Electronics,15.4,9.5,1.1,0.06,50
Glass Vase 0352,FRA-0352,Fragile,17.4,16.7,30.1,1.27,205
Jacket 0353,CLO-0353,Clothing,51.4,44.0,5.6,0.79,176
Jacket 0354,CLO-0354,Clothing,41.7,49.0,7.5,0.93,176
Laptop 0355,ELE-0355,Electronics,30.6,22.7,4.0,2.72,95
Action Figure 0356,TOY-0356,Toys,19.1,10.8,6.6,0.33,116
Textbook 0357,BOO-0357,Books,34.2,21.1,4.4,1.87,110
Shoes 0358,CLO-0358,Clothing,35.0,18.0,14.9,0.96,48
Keyboard 0359,ELE-0359,Electronics,40.1,16.6,2.1,0.95,89
Jeans 0360,CLO-0360,Clothing,34.7,28.7,5.3,0.5,51
Ceramic Mug 0361,FRA-0361,Fragile,12.9,12.2,12.4,0.43,97
Paperback Book 0362,BOO-0362,Books,18.7,13.2,2.3,0.52,450
